Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
"Lenovo IdeaPad Flex 5 14ALC05 AMD Ryzen 5 5500U/16GB/512GB SSD/14"" Táctil",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,,14,Yes,799
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Plata",New,Apple,MacBook Air,Apple M1,8,256,SSD,,13.3,No,1219
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512GB SSD/GTX1650/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,No,879
"MSI Prestige 14H B12UCX-427XES Intel Core i7-12650H/32GB/1TB SSD/RTX 2050/14""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 2050,14,No,1359
"ASUS F515EA-EJ1858W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,F515,Intel Core i7,8,512,SSD,,15.6,No,839
"Gigabyte G5 KF-E3ES313SD Intel Core i5-12500H/16GB/512GB SSD/RTX 4060/15.6""",New,Gigabyte,G5,Intel Core i5,16,512,SSD,RTX 4060,15.6,No,1109
"HP ChromeBook 14b-na0017ns AMD Ryzen 3 3250C/8GB/128GB SSD/14""",New,HP,Chromebook,AMD Ryzen 3,8,128,SSD,,14,No,579.01
"Dell Vostro 3510 Intel Core i3-1115G4/8 GB/256GB SSD/15.6""",New,Dell,Vostro,Intel Core i3,8,256,SSD,,15.6,No,599
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Plata",New,Apple,MacBook Air,Apple M2,8,256,SSD,,13.6,No,1519
"ASUS TUF Gaming A15 2023 FA507NV-LP031W AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX 4060/15.6""",New,Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4060,15.6,No,1349
"MSI Thin GF63 12UDX-042XES Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6""",New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,999
"Lenovo Ideapad Gaming 3 Gen 6 Intel Core i5-11320H/16GB/512GB SSD/GTX 1650/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,829.01
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/1TB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i7,16,1000,SSD,RTX 3060,15.6,No,1569.01
"HP 15S-EQ2086NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,512,SSD,,15.6,No,479
"HP Essential 255 G8 AMD 3020e/8GB/256GB SSD/15.6""",New,HP,255,AMD 3020e,8,256,SSD,,15.6,No,339
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512 GB SSD/GTX 1650/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,No,779.01
"Medion Akoya E14301 AMD Ryzen 5 3500U/4GB/256GB SSD/14""",New,Medion,Akoya,AMD Ryzen 5,4,256,SSD,,14,No,499
"ASUS Vivobook 14 F1402ZA-EK610 Intel Core i3-1215U/8GB/256GB SSD/14""",New,Asus,VivoBook,Intel Core i3,8,256,SSD,,14,No,459
"MSI Modern 14 C12M-077XES Intel Core i7-1255U/16GB/1TB SSD/14""",New,MSI,Modern,Intel Core i7,16,1000,SSD,,14,No,999
"ASUS ROG Strix G15 G513RM-HQ012 AMD Ryzen 7 6800H/16GB/1TB SSD/RTX3060/15.6""",Refurbished,Asus,ROG,AMD Ryzen 7,16,1000,SSD,RTX 3060,15.6,No,1899
"MSI Modern 15 B13M-280XES Intel Core i5-1335U/16GB/512GB SSD/15.6""",New,MSI,Modern,Intel Core i5,16,512,SSD,,15.6,No,819
"HP 15S-eq2091ns AMD Ryzen 7 5700U/12GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 7,12,512,SSD,,15.6,No,749
"Lenovo Ideapad Duet 5 Chromebook Qualcomm Snapdragon 7c/8GB/128GB eMMC/13.3"" Táctil",New,Lenovo,IdeaPad,Qualcomm Snapdragon 7,8,128,eMMC,,13.3,Yes,599
"Acer Nitro 5 AN515-47-R5K6 AMD Ryzen 5 7535HS/16GB/1TB SSD/RTX 3050Ti/15.6""",New,Acer,Nitro,AMD Ryzen 5,16,1000,SSD,RTX 3050,15.6,No,1199
"Lenovo V15 G2 ITL Intel Core i3-1115G4/8 GB/512 GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,512,SSD,,15.6,No,449
"MSI Prestige 16 Studio A13VF-042XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4060,16,No,1999
"HP 15S-EQ1158NS AMD 3020e/4GB/128GB SSD/15.6""",New,HP,15S,AMD 3020e,4,128,SSD,,15.6,No,379
"Lenovo IdeaPad 3 15ITL6 Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Azul",New,Lenovo,IdeaPad,Intel Core i3,8,256,SSD,,15.6,No,529
"LG Gram 17Z90R-G.AA75B Intel Evo Core i7-1360P/16GB/512GB SSD/17""",New,LG,Gram,Intel Evo Core i7,16,512,SSD,,17,No,1799
"MSI Prestige 16 Studio A13VE-045XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4050,16,No,1999
"ASUS E410MA-EK1356WS Intel Celeron N4020/4GB/64GB eMMC/14""",New,Asus,E410,Intel Celeron,4,64,eMMC,,14,No,349
"HP OMEN 17-cm2003ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4060/17.3""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,1799
"Medion Akoya E16401 MD62264 Intel Core i5-1135G7/8GB/512GB SSD/16.1""",New,Medion,Akoya,Intel Core i5,8,512,SSD,,16.1,No,499
"Lenovo V15 G2 ALC AMD Ryzen 3 5300U/8 GB/256 GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 3,8,256,SSD,,15.6,No,399
"ASUS ZenBook 14 OLED UM3402YA-KM512WS AMD Ryzen 7 7730U/16GB/512GB SSD/14""",New,Asus,ZenBook,AMD Ryzen 7,16,512,SSD,,14,No,1149
"Portátil Alurin Flex Advance Intel Core I5-1155G7 14""",Refurbished,Alurin,Flex Advance,Intel Core i5,8,0,,,14,No,368.7
"Acer Aspire 3 A315-58-32EE Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,Acer,Aspire,Intel Core i3,8,512,SSD,,15.6,No,499
"ASUS Chromebook Vibe CX55 Flip CX5501FEA-NA0271 Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Táctil",New,Asus,Chromebook,Intel Core i3,8,256,SSD,,15.6,Yes,699
"MSI Stealth 17 Studio A13VG-017ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,2949
"ASUS Vivobook 17 F1704VA-AU083W Intel Core i5-1335U/16GB/512GB SSD/17.3""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,,17.3,No,899
"HP Victus 16-e1007ns AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1099
"MSI Pulse 17 B13VGK-085XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4070/17.3""",New,MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4070,17.3,No,2099
"ASUS ExpertBook B1500CEAE-EJ3535X Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i7,16,512,SSD,,15.6,No,1049
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/512GB SSD/15.6""",New,Medion,Akoya,AMD Ryzen 7,8,512,SSD,,15.6,No,499
"ASUS Vivobook 14 F1402ZA-EK611W Intel Core i5-1235U/8GB/512GB SSD/14""",New,Asus,VivoBook,Intel Core i5,8,512,SSD,,14,No,719.01
